Distrito-A;Distrito-B;Vecino
Centro;Arganzuela;True
Centro;Retiro;True
Centro;Salamanca;True
Centro;Chamartín;True
Centro;Tetuán;False
Centro;Chamberí;True
Centro;Fuencarral-El Pardo;False
Centro;Moncloa;True
Centro;Latina;True
Centro;Carabanchel;False
Centro;Usera;False
Centro;Puente de Vallecas;False
Centro;Moratalaz;False
Centro;Ciudad Lineal;False
Centro;Hortaleza;False
Centro;Villaverde;False
Centro;Villa de Vallecas;False
Centro;Vicálvaro;False
Centro;San Blas;False
Centro;Barajas;False
Arganzuela;Centro;True
Arganzuela;Retiro;True
Arganzuela;Salamanca;False
Arganzuela;Chamartín;False
Arganzuela;Tetuán;False
Arganzuela;Chamberí;False
Arganzuela;Fuencarral-El Pardo;False
Arganzuela;Moncloa;False
Arganzuela;Latina;True
Arganzuela;Carabanchel;True
Arganzuela;Usera;True
Arganzuela;Puente de Vallecas;True
Arganzuela;Moratalaz;False
Arganzuela;Ciudad Lineal;False
Arganzuela;Hortaleza;False
Arganzuela;Villaverde;False
Arganzuela;Villa de Vallecas;False
Arganzuela;Vicálvaro;False
Arganzuela;San Blas;False
Arganzuela;Barajas;False
Retiro;Centro;True
Retiro;Arganzuela;True
Retiro;Salamanca;True
Retiro;Chamartín;False
Retiro;Tetuán;False
Retiro;Chamberí;False
Retiro;Fuencarral-El Pardo;False
Retiro;Moncloa;False
Retiro;Latina;False
Retiro;Carabanchel;False
Retiro;Usera;False
Retiro;Puente de Vallecas;True
Retiro;Moratalaz;True
Retiro;Ciudad Lineal;True
Retiro;Hortaleza;False
Retiro;Villaverde;False
Retiro;Villa de Vallecas;False
Retiro;Vicálvaro;False
Retiro;San Blas;False
Retiro;Barajas;False
Salamanca;Centro;True
Salamanca;Arganzuela;False
Salamanca;Retiro;True
Salamanca;Chamartín;True
Salamanca;Tetuán;False
Salamanca;Chamberí;True
Salamanca;Fuencarral-El Pardo;False
Salamanca;Moncloa;False
Salamanca;Latina;False
Salamanca;Carabanchel;False
Salamanca;Usera;False
Salamanca;Puente de Vallecas;False
Salamanca;Moratalaz;True
Salamanca;Ciudad Lineal;True
Salamanca;Hortaleza;False
Salamanca;Villaverde;False
Salamanca;Villa de Vallecas;False
Salamanca;Vicálvaro;False
Salamanca;San Blas;False
Salamanca;Barajas;False
Chamartín;Centro;False
Chamartín;Arganzuela;False
Chamartín;Retiro;False
Chamartín;Salamanca;True
Chamartín;Tetuán;True
Chamartín;Chamberí;True
Chamartín;Fuencarral-El Pardo;True
Chamartín;Moncloa;False
Chamartín;Latina;False
Chamartín;Carabanchel;False
Chamartín;Usera;False
Chamartín;Puente de Vallecas;False
Chamartín;Moratalaz;False
Chamartín;Ciudad Lineal;True
Chamartín;Hortaleza;True
Chamartín;Villaverde;False
Chamartín;Villa de Vallecas;False
Chamartín;Vicálvaro;False
Chamartín;San Blas;False
Chamartín;Barajas;False
Tetuán;Centro;False
Tetuán;Arganzuela;False
Tetuán;Retiro;False
Tetuán;Salamanca;True
Tetuán;Chamartín;True
Tetuán;Chamberí;True
Tetuán;Fuencarral-El Pardo;True
Tetuán;Moncloa;True
Tetuán;Latina;False
Tetuán;Carabanchel;False
Tetuán;Usera;False
Tetuán;Puente de Vallecas;False
Tetuán;Moratalaz;False
Tetuán;Ciudad Lineal;False
Tetuán;Hortaleza;False
Tetuán;Villaverde;False
Tetuán;Villa de Vallecas;False
Tetuán;Vicálvaro;False
Tetuán;San Blas;False
Tetuán;Barajas;False
Chamberí;Centro;True
Chamberí;Arganzuela;False
Chamberí;Retiro;True
Chamberí;Salamanca;True
Chamberí;Chamartín;True
Chamberí;Tetuán;True
Chamberí;Fuencarral-El Pardo;False
Chamberí;Moncloa;True
Chamberí;Latina;False
Chamberí;Carabanchel;False
Chamberí;Usera;False
Chamberí;Puente de Vallecas;False
Chamberí;Moratalaz;False
Chamberí;Ciudad Lineal;False
Chamberí;Hortaleza;False
Chamberí;Villaverde;False
Chamberí;Villa de Vallecas;False
Chamberí;Vicálvaro;False
Chamberí;San Blas;False
Chamberí;Barajas;False
Fuencarral-El Pardo;Centro;False
Fuencarral-El Pardo;Arganzuela;False
Fuencarral-El Pardo;Retiro;False
Fuencarral-El Pardo;Salamanca;False
Fuencarral-El Pardo;Chamartín;True
Fuencarral-El Pardo;Tetuán;True
Fuencarral-El Pardo;Chamberí;False
Fuencarral-El Pardo;Moncloa;True
Fuencarral-El Pardo;Latina;False
Fuencarral-El Pardo;Carabanchel;False
Fuencarral-El Pardo;Usera;False
Fuencarral-El Pardo;Puente de Vallecas;False
Fuencarral-El Pardo;Moratalaz;False
Fuencarral-El Pardo;Ciudad Lineal;False
Fuencarral-El Pardo;Hortaleza;True
Fuencarral-El Pardo;Villaverde;False
Fuencarral-El Pardo;Villa de Vallecas;False
Fuencarral-El Pardo;Vicálvaro;False
Fuencarral-El Pardo;San Blas;False
Fuencarral-El Pardo;Barajas;False
Moncloa;Centro;True
Moncloa;Arganzuela;False
Moncloa;Retiro;False
Moncloa;Salamanca;False
Moncloa;Chamartín;False
Moncloa;Tetuán;True
Moncloa;Chamberí;True
Moncloa;Fuencarral-El Pardo;True
Moncloa;Latina;True
Moncloa;Carabanchel;False
Moncloa;Usera;False
Moncloa;Puente de Vallecas;False
Moncloa;Moratalaz;False
Moncloa;Ciudad Lineal;False
Moncloa;Hortaleza;False
Moncloa;Villaverde;False
Moncloa;Villa de Vallecas;False
Moncloa;Vicálvaro;False
Moncloa;San Blas;False
Moncloa;Barajas;False
Latina;Centro;True
Latina;Arganzuela;True
Latina;Retiro;False
Latina;Salamanca;False
Latina;Chamartín;False
Latina;Tetuán;False
Latina;Chamberí;False
Latina;Fuencarral-El Pardo;False
Latina;Moncloa;True
Latina;Carabanchel;True
Latina;Usera;False
Latina;Puente de Vallecas;False
Latina;Moratalaz;False
Latina;Ciudad Lineal;False
Latina;Hortaleza;False
Latina;Villaverde;False
Latina;Villa de Vallecas;False
Latina;Vicálvaro;False
Latina;San Blas;False
Latina;Barajas;False
Carabanchel;Centro;False
Carabanchel;Arganzuela;True
Carabanchel;Retiro;False
Carabanchel;Salamanca;False
Carabanchel;Chamartín;False
Carabanchel;Tetuán;False
Carabanchel;Chamberí;False
Carabanchel;Fuencarral-El Pardo;False
Carabanchel;Moncloa;False
Carabanchel;Latina;True
Carabanchel;Usera;True
Carabanchel;Puente de Vallecas;False
Carabanchel;Moratalaz;False
Carabanchel;Ciudad Lineal;False
Carabanchel;Hortaleza;False
Carabanchel;Villaverde;True
Carabanchel;Villa de Vallecas;False
Carabanchel;Vicálvaro;False
Carabanchel;San Blas;False
Carabanchel;Barajas;False
Usera;Centro;False
Usera;Arganzuela;True
Usera;Retiro;False
Usera;Salamanca;False
Usera;Chamartín;False
Usera;Tetuán;False
Usera;Chamberí;False
Usera;Fuencarral-El Pardo;False
Usera;Moncloa;False
Usera;Latina;False
Usera;Carabanchel;True
Usera;Puente de Vallecas;True
Usera;Moratalaz;False
Usera;Ciudad Lineal;False
Usera;Hortaleza;False
Usera;Villaverde;True
Usera;Villa de Vallecas;True
Usera;Vicálvaro;False
Usera;San Blas;False
Usera;Barajas;False
Puente de Vallecas;Centro;False
Puente de Vallecas;Arganzuela;True
Puente de Vallecas;Retiro;True
Puente de Vallecas;Salamanca;False
Puente de Vallecas;Chamartín;False
Puente de Vallecas;Tetuán;False
Puente de Vallecas;Chamberí;False
Puente de Vallecas;Fuencarral-El Pardo;False
Puente de Vallecas;Moncloa;False
Puente de Vallecas;Latina;False
Puente de Vallecas;Carabanchel;False
Puente de Vallecas;Usera;True
Puente de Vallecas;Moratalaz;True
Puente de Vallecas;Ciudad Lineal;False
Puente de Vallecas;Hortaleza;False
Puente de Vallecas;Villaverde;True
Puente de Vallecas;Villa de Vallecas;True
Puente de Vallecas;Vicálvaro;True
Puente de Vallecas;San Blas;False
Puente de Vallecas;Barajas;False
Moratalaz;Centro;False
Moratalaz;Arganzuela;False
Moratalaz;Retiro;True
Moratalaz;Salamanca;True
Moratalaz;Chamartín;False
Moratalaz;Tetuán;False
Moratalaz;Chamberí;False
Moratalaz;Fuencarral-El Pardo;False
Moratalaz;Moncloa;False
Moratalaz;Latina;False
Moratalaz;Carabanchel;False
Moratalaz;Usera;False
Moratalaz;Puente de Vallecas;True
Moratalaz;Ciudad Lineal;True
Moratalaz;Hortaleza;False
Moratalaz;Villaverde;False
Moratalaz;Villa de Vallecas;False
Moratalaz;Vicálvaro;True
Moratalaz;San Blas;True
Moratalaz;Barajas;False
Ciudad Lineal;Centro;False
Ciudad Lineal;Arganzuela;False
Ciudad Lineal;Retiro;True
Ciudad Lineal;Salamanca;True
Ciudad Lineal;Chamartín;True
Ciudad Lineal;Tetuán;False
Ciudad Lineal;Chamberí;False
Ciudad Lineal;Fuencarral-El Pardo;False
Ciudad Lineal;Moncloa;False
Ciudad Lineal;Latina;False
Ciudad Lineal;Carabanchel;False
Ciudad Lineal;Usera;False
Ciudad Lineal;Puente de Vallecas;False
Ciudad Lineal;Moratalaz;True
Ciudad Lineal;Hortaleza;True
Ciudad Lineal;Villaverde;False
Ciudad Lineal;Villa de Vallecas;False
Ciudad Lineal;Vicálvaro;True
Ciudad Lineal;San Blas;True
Ciudad Lineal;Barajas;False
Hortaleza;Centro;False
Hortaleza;Arganzuela;False
Hortaleza;Retiro;False
Hortaleza;Salamanca;False
Hortaleza;Chamartín;True
Hortaleza;Tetuán;False
Hortaleza;Chamberí;False
Hortaleza;Fuencarral-El Pardo;True
Hortaleza;Moncloa;False
Hortaleza;Latina;False
Hortaleza;Carabanchel;False
Hortaleza;Usera;False
Hortaleza;Puente de Vallecas;False
Hortaleza;Moratalaz;False
Hortaleza;Ciudad Lineal;True
Hortaleza;Villaverde;False
Hortaleza;Villa de Vallecas;False
Hortaleza;Vicálvaro;False
Hortaleza;San Blas;True
Hortaleza;Barajas;True
Villaverde;Centro;False
Villaverde;Arganzuela;False
Villaverde;Retiro;False
Villaverde;Salamanca;False
Villaverde;Chamartín;False
Villaverde;Tetuán;False
Villaverde;Chamberí;False
Villaverde;Fuencarral-El Pardo;False
Villaverde;Moncloa;False
Villaverde;Latina;False
Villaverde;Carabanchel;True
Villaverde;Usera;True
Villaverde;Puente de Vallecas;True
Villaverde;Moratalaz;False
Villaverde;Ciudad Lineal;False
Villaverde;Hortaleza;False
Villaverde;Villa de Vallecas;True
Villaverde;Vicálvaro;False
Villaverde;San Blas;False
Villaverde;Barajas;False
Villa de Vallecas;Centro;False
Villa de Vallecas;Arganzuela;False
Villa de Vallecas;Retiro;False
Villa de Vallecas;Salamanca;False
Villa de Vallecas;Chamartín;False
Villa de Vallecas;Tetuán;False
Villa de Vallecas;Chamberí;False
Villa de Vallecas;Fuencarral-El Pardo;False
Villa de Vallecas;Moncloa;False
Villa de Vallecas;Latina;False
Villa de Vallecas;Carabanchel;False
Villa de Vallecas;Usera;True
Villa de Vallecas;Puente de Vallecas;True
Villa de Vallecas;Moratalaz;False
Villa de Vallecas;Ciudad Lineal;False
Villa de Vallecas;Hortaleza;False
Villa de Vallecas;Villaverde;True
Villa de Vallecas;Vicálvaro;True
Villa de Vallecas;San Blas;False
Villa de Vallecas;Barajas;False
Vicálvaro;Centro;False
Vicálvaro;Arganzuela;False
Vicálvaro;Retiro;False
Vicálvaro;Salamanca;False
Vicálvaro;Chamartín;False
Vicálvaro;Tetuán;False
Vicálvaro;Chamberí;False
Vicálvaro;Fuencarral-El Pardo;False
Vicálvaro;Moncloa;False
Vicálvaro;Latina;False
Vicálvaro;Carabanchel;False
Vicálvaro;Usera;False
Vicálvaro;Puente de Vallecas;True
Vicálvaro;Moratalaz;True
Vicálvaro;Ciudad Lineal;True
Vicálvaro;Hortaleza;False
Vicálvaro;Villaverde;False
Vicálvaro;Villa de Vallecas;True
Vicálvaro;San Blas;True
Vicálvaro;Barajas;False
San Blas;Centro;False
San Blas;Arganzuela;False
San Blas;Retiro;False
San Blas;Salamanca;False
San Blas;Chamartín;False
San Blas;Tetuán;False
San Blas;Chamberí;False
San Blas;Fuencarral-El Pardo;False
San Blas;Moncloa;False
San Blas;Latina;False
San Blas;Carabanchel;False
San Blas;Usera;False
San Blas;Puente de Vallecas;False
San Blas;Moratalaz;True
San Blas;Ciudad Lineal;True
San Blas;Hortaleza;True
San Blas;Villaverde;False
San Blas;Villa de Vallecas;False
San Blas;Vicálvaro;True
San Blas;Barajas;True
Barajas;Centro;False
Barajas;Arganzuela;False
Barajas;Retiro;False
Barajas;Salamanca;False
Barajas;Chamartín;False
Barajas;Tetuán;False
Barajas;Chamberí;False
Barajas;Fuencarral-El Pardo;False
Barajas;Moncloa;False
Barajas;Latina;False
Barajas;Carabanchel;False
Barajas;Usera;False
Barajas;Puente de Vallecas;False
Barajas;Moratalaz;False
Barajas;Ciudad Lineal;False
Barajas;Hortaleza;True
Barajas;Villaverde;False
Barajas;Villa de Vallecas;False
Barajas;Vicálvaro;False
Barajas;San Blas;True
