Número;Distrito;Barrio;Superficie (km²);Densidad (Hab/Ha);Precio (€/m2);Esperanza de Vida (Años);Renta media (€)
24;Arganzuela;Legazpi;1,396;138,37;4394;82,9;46590
22;Arganzuela;Acacias;1,074;339,05;4188;84,4;43512
21;Arganzuela;Imperial;0,967;233,51;3922;83,7;41022
25;Arganzuela;Delicias;1,057;269,03;3904;83,5;37964
27;Arganzuela;Atocha;0,775;19,63;4888;78,8;36649
26;Arganzuela;Palos de Moguer;0,643;397,65;3943;83,3;32218
23;Arganzuela;Chopera;0,566;353,60;3625;83,4;30205
215;Barajas;Corralejos;4,633;16,37;3476;84,7;64548
211;Barajas;Alameda de Osuna;1,961;99,76;3273;83,9;51560
214;Barajas;Timón;9,595;26,17;3088;83;38994
213;Barajas;Casco Histórico de Barajas;0,609;136,59;3104;83;32839
212;Barajas;Aeropuerto;25,132;0,65;-;81,8;22835
116;Carabanchel;Buenavista;5,613;85,53;1982;82,8;29879
112;Carabanchel;Opañel;1,106;303,95;2339;82,7;27181
114;Carabanchel;Vista Alegre;1,589;296,26;2044;83,2;27013
117;Carabanchel;Abrantes;1,564;201,44;1883;82,6;26841
111;Carabanchel;Comillas;0,666;340,72;2702;83,3;26236
113;Carabanchel;San Isidro;1,899;209,17;2303;82,7;24847
115;Carabanchel;Puerta Bonita;1,607;223,46;1942;82,1;24384
14;Centro;Justicia;0,742;246,25;5893;81,4;35913
11;Centro;Palacio;1,471;160,45;4852;79,5;32445
13;Centro;Cortes;0,592;182,25;5272;80,9;32403
15;Centro;Universidad;0,947;352,59;5282;82,8;28883
16;Centro;Sol;0,445;179,50;5110;79,1;27707
12;Centro;Embajadores;1,032;456,97;4479;82;23833
51;Chamartín;El Viso;1,708;101,99;6263;84,7;113001
55;Chamartín;Nueva España;1,788;139,74;5296;84,8;77392
54;Chamartín;Hispanoamérica;1,707;187,10;5173;84,2;61177
56;Chamartín;Castilla;2,16;79,71;4376;85,1;55731
52;Chamartín;Prosperidad;1,043;355,17;4288;83;42259
53;Chamartín;Ciudad Jardín;0,762;247,84;4563;83,5;41736
74;Chamberí;Almagro;0,937;208,39;6728;84;69449
76;Chamberí;Vallehermoso;1,068;187,69;4544;84,3;56812
75;Chamberí;Ríos Rosas;0,971;279,02;4397;84,4;47942
71;Chamberí;Gaztambide;0,506;453,09;4894;83,8;42285
72;Chamberí;Arapiles;0,578;419,56;4996;83;40170
73;Chamberí;Trafalgar;0,611;402,50;5569;83,5;39428
159;Ciudad Lineal;Costillares;1,427;154,66;4267;83,9;64341
158;Ciudad Lineal;Atalaya;0,248;63,48;3146;84,1;62597
156;Ciudad Lineal;San Juan Bautista;1,01;123,50;4288;83,9;55567
157;Ciudad Lineal;Colina;0,559;113,76;4660;83,9;52757
155;Ciudad Lineal;San Pascual;1,052;169,30;3402;84,2;41228
154;Ciudad Lineal;Concepción;0,885;233,96;3259;83,7;33377
153;Ciudad Lineal;Quintana;0,722;340,48;2828;83,6;29504
152;Ciudad Lineal;Pueblo Nuevo;2,319;270,48;2496;82,8;29206
151;Ciudad Lineal;Ventas;3,198;151,38;2665;83,9;27436
82;Fuencarral-El Pardo;Fuentelarreina;1,382;24,27;3439;84,9;97930
87;Fuencarral-El Pardo;Mirasierra;6,975;49,43;3645;82,8;73750
85;Fuencarral-El Pardo;La Paz;2,159;153,17;3580;84,4;57509
88;Fuencarral-El Pardo;El Goloso;26,509;7,14;3543;88,7;52624
83;Fuencarral-El Pardo;Peñagrande;2,89;153,72;3283;83,1;44659
86;Fuencarral-El Pardo;Valverde;8,977;71,31;4088;82,2;39881
81;Fuencarral-El Pardo;El Pardo;187,642;0,18;3311;80,2;36340
84;Fuencarral-El Pardo;El Pilar;1,359;337,22;3282;83,6;33138
162;Hortaleza;Piovera;3,139;31,88;4275;83,4;101620
