Barrio;Latitud;Longitud
 Palacio;37.8822217;-4.7756744
 Embajadores;37.8822217;-4.7756744
 Cortes;37.8822217;-4.7756744
 Justicia;40.4239569;-3.695747320
 Universidad;37.8822217;-4.7756744
 Sol;37.8822217;-4.7756744
 Imperial;40.392827;-3.6993131
 Acacias;40.392827;-3.6993131
 Chopera;40.392827;-3.6993131
 Legazpi;40.392827;-3.6993131
 Delicias;40.392827;-3.6993131
 Palos de Moguer;40.392827;-3.6993131
 Atocha;40.392827;-3.6993131
 Pacífico;40.4023736;-3.67742657
 Adelfas;40.4023736;-3.67742657
 Estrella;40.4023736;-3.67742657
 Ibiza;40.4023736;-3.67742657
 Jerónimos;40.4023736;-3.67742657
 Niño Jesús;40.4023736;-3.67742657
 Recoletos;40.4273253;-3.6835865
 Goya;40.4273253;-3.6835865
 Fuente del Berro;40.4273253;-3.6835865
 Guindalera;40.4273253;-3.6835865
 Lista;40.4273253;-3.6835865
 Castellana;40.4273253;-3.6835865
 El Viso;40.4607638;-3.677534
 Prosperidad;40.4607638;-3.677534
 Ciudad Jardín;40.4607638;-3.677534
 Hispanoamérica;40.4607638;-3.677534
 Nueva España;40.4607638;-3.677534
 Castilla;40.4607638;-3.677534
 Bellas Vistas;40.46082135;-3.69952042
 Cuatro Caminos;40.46082135;-3.69952042
 Castillejos;40.46082135;-3.69952042
 Almenara;40.46082135;-3.69952042
 Valdeacederas;40.46082135;-3.69952042
 Berruguete;40.46082135;-3.69952042
 Gaztambide;40.43624735;-3.703830353
 Arapiles;40.43624735;-3.703830353
 Trafalgar;40.43624735;-3.703830353
 Almagro;40.43624735;-3.703830353
 Ríos Rosas;40.43624735;-3.703830353
 Vallehermoso;40.43624735;-3.703830353
 El Pardo;40.4906361;-3.7161379
 Fuentelarreina;40.4906361;-3.7161379
 Peñagrande;40.4906361;-3.7161379
 Pilar;40.4906361;-3.7161379
 La Paz;40.4906361;-3.7161379
 Valverde;40.4906361;-3.7161379
 Mirasierra;40.4906361;-3.7161379
 El Goloso;40.4906361;-3.7161379
 Casa de Campo;40.43949485;-3.744203539
 Argüelles;40.43949485;-3.744203539
 Ciudad Universitaria;40.43949485;-3.744203539
 Valdezarza;40.43949485;-3.744203539
 Valdemarín;40.46685345;-3.787092528
 El Plantío;40.468442;-3.817695979
 Aravaca;40.457749;-3.7827941
 Los Cármenes;40.4035317;-3.736152
 Puerta del Angel;40.4035317;-3.736152
 Lucero;40.4035317;-3.736152
 Aluche;40.4035317;-3.736152
 Campamento;40.4035317;-3.736152
 Cuatro Vientos;40.4035317;-3.736152
 Las Águilas;40.4035317;-3.736152
 Comillas;40.3742112;-3.744676
 Opañel;40.3742112;-3.744676
 San Isidro;40.3742112;-3.744676
 Vista Alegre;40.3742112;-3.744676
 Puerta Bonita;40.3742112;-3.744676
 Buenavista;40.3742112;-3.744676
 Abrantes;40.3742112;-3.744676
 Orcasitas;40.3776019;-3.703378
 Orcasur;40.3776019;-3.703378
 San Fermín;40.3776019;-3.703378
 Almendrales;40.3776019;-3.703378
 Moscardó;40.3776019;-3.703378
 Zofio;40.3776019;-3.703378
 Pradolongo;40.3776019;-3.703378
 Entrevías;40.3835532;-3.65453548
 San Diego;40.3835532;-3.65453548
 Palomeras Bajas;40.3835532;-3.65453548
 Palomeras Sureste;40.3835532;-3.65453548
 Portazgo;40.3835532;-3.65453548
 Numancia;40.3835532;-3.65453548
 Pavones;40.4055207;-3.640173367
 Horcajo;40.4055207;-3.640173367
 Marroquina;40.4055207;-3.640173367
 Media Legua;40.4055207;-3.640173367
 Fontarrón;40.4055207;-3.640173367
 Vinateros;40.4055207;-3.640173367
 Ventas;40.44862135;-3.65483484
 Pueblo Nuevo;40.44862135;-3.65483484
 Quintana;40.44862135;-3.65483484
 Concepción;40.44862135;-3.65483484
 San Pascual;40.44862135;-3.65483484
 San Juan Bautista;40.44862135;-3.65483484
 Colina;40.44862135;-3.65483484
 Atalaya;40.44862135;-3.65483484
 Costillares;40.44862135;-3.65483484
 Palomas;40.4808253;-3.644027127
 Piovera;40.4808253;-3.644027127
 Canillas;40.4808253;-3.644027127
 Pinar del Rey;40.4808253;-3.644027127
 Apóstol Santiago;40.4808253;-3.644027127
 Valdefuentes;40.4808253;-3.644027127
 Villaverde;40.34309205;-3.694119041
 San Cristóbal;40.34309205;-3.694119041
 Butarque;40.34309205;-3.694119041
 Los Rosales;40.34309205;-3.694119041
 Los Ángeles;40.34309205;-3.694119041
 Casco Histórico de Vallecas;40.35127525;-3.615942718
 Santa Eugenia;40.35127525;-3.615942718
 Ensanche de Vallecas;40.35127525;-3.615942718
 Casco Histórico de Vicálvaro;40.3882402;-3.57719996
 Valdebernardo;40.3882402;-3.57719996
 Valderrivas;40.3882402;-3.57719996
 El Cañaveral;40.3882402;-3.57719996
 Simancas;40.42891905;-3.604002428
 Hellín;40.42891905;-3.604002428
 Amposta;40.42891905;-3.604002428
 Arcos;40.42891905;-3.604002428
 Rosas;40.42891905;-3.604002428
 Rejas;40.42891905;-3.604002428
 Canillejas;40.42891905;-3.604002428
 Salvador;40.42891905;-3.604002428
 Alameda de Osuna;40.4575814;-3.5879745
 Aeropuerto;40.47984005;-3.5802507
 Casco Histórico de Barajas;40.47984005;-3.5802507
 Timón;40.47984005;-3.5802507
 Corralejos;40.47984005;-3.5802507
