Distrito;Barrio;Deporte;Comprar;Restaurantes;Fiesta;Museos;Naturaleza;Cursos;Pasear;Tranquilo;Bullicio;Ocio;Familiar;Seguro;Concurrido;Limpio;Moderno;Multicultural;Barato;Verde;Adinerado;Clásico;Coche;Metro;Bus;Bicicleta;Soltero;Estudiante;Pareja;Familia;Jubilado
Centro; Palacio;0;4;5;3;5;0.21;0.77;5;4.31;1.75;3.25;0.26;4.31;1.75;1.26;5;2.19;0.49;0.02;1.26;5;2.83;4.17;5;3.39;0.21;5;0.21;0;1.07
Centro; Embajadores;0;3;5;3;5;0.21;0.77;5;4.31;5;3.63;0.26;4.31;5;0.59;5;3.3;0.66;0.02;0.59;5;2.83;4.17;5;3.13;0.21;5;0.21;0;1.07
Centro; Cortes;0;3;5;3;5;0.21;0.77;5;4.31;1.99;3.13;0.26;4.31;1.99;1.4;5;3.13;0.4;0.02;1.4;5;2.83;4.17;5;0.71;0.21;5;0.21;0;1.07
Centro; Justicia;0;5;5;3;5;0.21;0.77;5;4.31;2.69;3.58;0.26;4.31;2.69;1.91;5;2.76;0.35;0.02;1.91;5;2.83;4.17;5;5;0.21;5;0.21;0;1.07
Centro; Universidad;0;5;5;5;5;0.21;0.77;5;4.31;3.86;4.11;0.26;4.31;3.86;1.01;5;2.82;0.4;0.02;1.01;5;2.83;4.17;5;2.77;0.21;5;0.21;0;1.07
Centro; Sol;0;5;5;5;5;0.21;0.77;5;4.31;1.96;3.79;0.26;4.31;1.96;0.99;5;3.77;0.48;0.02;0.99;5;2.83;4.17;5;1.07;0.21;5;0.21;0;1.07
Arganzuela; Imperial;1.38;4;4;3;0.44;0.97;2.1;5;3.78;2.55;2.68;1.41;3.78;2.55;1.82;4;0.56;0.63;0.51;1.82;0.27;1.46;1.67;5;1.52;0.8;1.31;0.8;1.99;2.44
Arganzuela; Acacias;1.38;4;4;3;0.44;0.97;2.1;5;3.78;3.71;2.88;1.41;3.78;3.71;1.88;4;0.52;0.83;0.51;1.88;0.27;1.46;1.67;5;0.54;0.8;1.31;0.8;1.99;2.44
Arganzuela; Chopera;1.38;3;4;3;0.44;0.97;2.1;5;3.78;3.87;2.74;1.41;3.78;3.87;0.98;4;1.74;1.09;0.51;0.98;0.27;1.46;1.67;5;0.18;0.8;1.31;0.8;1.99;2.44
Arganzuela; Legazpi;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.51;2.34;1.41;3.78;1.51;2.22;4;0.55;0.57;0.51;2.22;0.27;1.46;1.67;5;0.8;0.8;1.31;0.8;1.99;2.44
Arganzuela; Delicias;1.38;3;4;3;0.44;0.97;2.1;5;3.78;2.94;2.58;1.41;3.78;2.94;1.55;4;1.28;0.89;0.51;1.55;0.27;1.46;1.67;5;0.98;0.8;1.31;0.8;1.99;2.44
Arganzuela; Palos de Moguer;1.38;3;4;3;0.44;0.97;2.1;5;3.78;4.35;2.82;1.41;3.78;4.35;1.15;4;1.74;0.98;0.51;1.15;0.27;1.46;1.67;5;0.8;0.8;1.31;0.8;1.99;2.44
Arganzuela; Atocha;1.38;4;4;4;0.44;0.97;2.1;5;3.78;0.21;2.46;1.41;3.78;0.21;1.52;4;0.43;1.1;0.51;1.52;0.27;1.46;1.67;5;0.27;0.8;1.31;0.8;1.99;2.44
