Barrio;Adinerado;Precio m2;Concurrido;Multicultural;Soltero;Familia;Jubilado;Edad Promedio
   011. Palacio;2.53;4.79;3.51;4.39;0.43;0;2.14;5.33
   012. Embajadores;1.19;4.09;10;6.59;0.43;0;2.14;5.33
   013. Cortes;2.81;5.26;3.99;6.25;0.43;0;2.14;5.33
   014. Justicia;3.83;6.31;5.39;5.52;0.43;0;2.14;5.33
   015. Universidad;2.01;5.4;7.71;5.64;0.43;0;2.14;5.33
   016. Sol;1.97;4.86;3.93;7.55;0.43;0;2.14;5.33
   021. Imperial;3.64;4.27;5.11;1.13;1.6;3.97;4.87;6.52
   022. Acacias;3.76;3.87;7.42;1.04;1.6;3.97;4.87;6.52
   023. Chopera;1.97;3.38;7.74;3.49;1.6;3.97;4.87;6.52
   024. Legazpi;4.45;4.53;3.03;1.1;1.6;3.97;4.87;6.52
   025. Delicias;3.1;3.68;5.89;2.56;1.6;3.97;4.87;6.52
   026. Palos de Moguer;2.3;3.66;8.7;3.48;1.6;3.97;4.87;6.52
   027. Atocha;3.05;3.26;0.43;0.85;1.6;3.97;4.87;6.52
   031. Pacífico;3.35;4.04;9.54;1.87;0.25;4.1;9.19;9.31
   032. Adelfas;4.02;3.87;6.37;1.04;0.25;4.1;9.19;9.31
   033. Estrella;5.99;4.12;4.92;0.29;0.25;4.1;9.19;9.31
   034. Ibiza;4.09;5.71;9.59;2.52;0.25;4.1;9.19;9.31
   035. Jerónimos;7.33;8.1;0.79;2.65;0.25;4.1;9.19;9.31
   036. Niño Jesús;7.04;5.15;5.2;0.7;0.25;4.1;9.19;9.31
   041. Recoletos;8.55;10;3.91;4.47;0.25;3.11;7.94;8.03
   042. Goya;4.71;6.36;8.37;3.59;0.25;3.11;7.94;8.03
   043. Fuente del Berro;3.27;4.52;5.38;2.8;0.25;3.11;7.94;8.03
   044. Guindalera;4.09;4.02;5.72;2.3;0.25;3.11;7.94;8.03
   045. Lista;4.72;6.53;8.78;3.36;0.25;3.11;7.94;8.03
   046. Castellana;8.51;7.96;4.85;4.19;0.25;3.11;7.94;8.03
   051. El Viso;8.37;7.34;2.22;2.39;1.38;5.4;7.59;7.23
   052. Prosperidad;3.63;4.3;7.64;2.19;1.38;5.4;7.59;7.23
   053. Ciudad Jardín;3.93;4.65;5.34;2.69;1.38;5.4;7.59;7.23
   054. Hispanoamérica;6.82;5.77;4.04;1.37;1.38;5.4;7.59;7.23
   055. Nueva España;8.05;6.44;3.02;1.78;1.38;5.4;7.59;7.23
   056. Castilla;5.68;4.24;1.73;1.88;1.38;5.4;7.59;7.23
   061. Bellas Vistas;1.76;2.83;9.02;6.26;1.57;3.45;4.72;5.49
   062. Cuatro Caminos;3.57;4.37;6.43;3.69;1.57;3.45;4.72;5.49
   063. Castillejos;3.89;4.36;6.38;3.63;1.57;3.45;4.72;5.49
   064. Almenara;1.49;2.77;4.98;4.02;1.57;3.45;4.72;5.49
   065. Valdeacederas;1.28;2.75;5.01;5.94;1.57;3.45;4.72;5.49
   066. Berruguete;1.46;2.69;9.25;6.47;1.57;3.45;4.72;5.49
   071. Gaztambide;3.61;4.6;9.92;2.55;0.02;2.75;8.14;8.22
   072. Arapiles;3.64;5.32;9.18;2.56;0.02;2.75;8.14;8.22
   073. Trafalgar;3.54;5.78;8.81;3.28;0.02;2.75;8.14;8.22
   074. Almagro;6.74;7.29;4.56;3.19;0.02;2.75;8.14;8.22
   075. Ríos Rosas;4.62;5.63;6.1;2.42;0.02;2.75;8.14;8.22
   076. Vallehermoso;5.7;5.31;4.11;0.99;0.02;2.75;8.14;8.22
   081. El Pardo;2.51;6.33;0;0.03;3.83;8.98;5.48;4.55
   082. Fuentelarreina;9.82;2.95;0.53;1.36;3.83;8.98;5.48;4.55
   083. Peñagrande;3.93;3.05;3.36;1.33;3.83;8.98;5.48;4.55
   084. Pilar;2.05;2.73;7.38;2.72;3.83;8.98;5.48;4.55
   085. La Paz;5.76;3.4;3.35;0.49;3.83;8.98;5.48;4.55
   086. Valverde;3.56;3.42;1.56;2.54;3.83;8.98;5.48;4.55
   087. Mirasierra;7.24;1.82;1.08;0.38;3.83;8.98;5.48;4.55
   088. El Goloso;6.54;3.92;0.15;0.45;3.83;8.98;5.48;4.55
   091. Casa de Campo;3.37;3.68;0.16;1.54;1.96;5.78;6.44;6.22
   092. Argüelles;4.81;4.96;6.98;3.07;1.96;5.78;6.44;6.22
   093. Ciudad Universitaria;6.25;3.55;0.24;1.57;1.96;5.78;6.44;6.22
   094. Valdezarza;2.3;2.28;4.71;2.57;1.96;5.78;6.44;6.22
   095. Valdemarín;9.85;3.88;0.45;1.46;1.96;5.78;6.44;6.22
   096. El Plantío;10;1.98;0.18;2.22;1.96;5.78;6.44;6.22
   097. Aravaca;7.33;3.8;1.03;1.76;1.96;5.78;6.44;6.22
   101. Los Cármenes;1.47;1.32;2.97;3.84;0.58;3.99;8.45;8.39
   102. Puerta del Angel;1.21;1.66;6.68;5.21;0.58;3.99;8.45;8.39
   103. Lucero;1.53;1.18;4.77;4.56;0.58;3.99;8.45;8.39
   104. Aluche;1.63;1.15;5.14;4.11;0.58;3.99;8.45;8.39
   105. Campamento;1.75;1.07;0.46;4.91;0.58;3.99;8.45;8.39
   106. Cuatro Vientos;2.31;1.27;0.23;1.61;0.58;3.99;8.45;8.39
   107. Las Águilas;1.49;1.14;3.13;2.64;0.58;3.99;8.45;8.39
   111. Comillas;1.18;1.95;7.45;4.88;3.1;5.88;4.57;4.82
   112. Opañel;1.26;1.27;6.65;5.76;3.1;5.88;4.57;4.82
   113. San Isidro;0.99;1.2;4.58;5.41;3.1;5.88;4.57;4.82
   114. Vista Alegre;1.16;1;6.48;6.35;3.1;5.88;4.57;4.82
   115. Puerta Bonita;0.9;0.81;4.89;6.29;3.1;5.88;4.57;4.82
   116. Buenavista;1.76;0.79;1.87;3.11;3.1;5.88;4.57;4.82
   117. Abrantes;1.26;0.79;4.41;5.73;3.1;5.88;4.57;4.82
   121. Orcasitas;1.18;0.62;3.72;1.84;4.41;6.46;3.26;3.55
   122. Orcasur;0.89;0.7;2.23;4.21;4.41;6.46;3.26;3.55
