Barrio;Renta media por hogar;Precio m2;Variación Precio;Densidad (hab/Ha);Lugar de Nacimiento;Índice de Juventud
   011. Palacio;38973,54;4714;11;160,4456282;28,34303552;48,3038113
   012. Embajadores;29471,72;4231;51;456,9690244;38,69568896;48,3038113
   013. Cortes;40962,52;5041;-165;182,2515491;37,11292842;48,3038113
   014. Justicia;48202,79;5773;132;246,249052;33,67273928;48,3038113
   015. Universidad;35344,23;5144;125;352,5850015;34,20426838;48,3038113
   016. Sol;35056,89;4769;-302;179,4966288;43,19702602;48,3038113
   021. Imperial;46879,40;4359;464;233,5072708;13,03847346;60,70144473
   022. Acacias;47683,22;4081;66;339,0508301;12,6206098;60,70144473
   023. Chopera;35015,46;3738;140;353,6009051;24,10736642;60,70144473
   024. Legazpi;52569,14;4539;297;138,3697906;12,91326531;60,70144473
   025. Delicias;43018,08;3949;85;269,0297765;19,77444934;60,70144473
   026. Palos de Moguer;37389,10;3931;147;397,6450925;24,07124083;60,70144473
   027. Atocha;42657,00;3657;171;19,62808276;11,74193548;60,70144473
   031. Pacífico;44831,76;4194;155;436,0960874;16,52875027;46,47488496
   032. Adelfas;49538,41;4079;38;291,0941764;12,63753872;46,47488496
   033. Estrella;63495,10;4250;261;224,7728382;9,08019897;46,47488496
   034. Ibiza;50079,65;5358;131;438,19864;19,562689;46,47488496
   035. Jerónimos;72996,65;7016;4;36,34078278;20,18414617;46,47488496
   036. Niño Jesús;70945,17;4965;292;237,8433284;11,02196501;46,47488496
   041. Recoletos;81691,88;8335;-94;178,9966258;28,74316245;46,47019887
   042. Goya;54456,35;5805;249;382,6982431;24,59645903;46,47019887
   043. Fuente del Berro;44221,15;4527;3;245,8784351;20,87880528;46,47019887
   044. Guindalera;50063,95;4182;90;261,6625287;18,54567164;46,47019887
   045. Lista;54487,68;5922;112;401,0653515;23,53591692;46,47019887
   046. Castellana;81379,77;6919;-16;221,6489262;27,42836971;46,47019887
   051. El Viso;80370,38;6485;460;101,5016617;18,96093389;58,35482358
   052. Prosperidad;46804,54;4375;198;349,0477485;18,01410593;58,35482358
   053. Ciudad Jardín;48943,80;4617;229;244,2315615;20,37556659;58,35482358
   054. Hispanoamérica;69389,19;5400;340;184,7683064;14,15694926;58,35482358
   055. Nueva España;78097,75;5866;375;137,9647908;16,10768414;58,35482358
   056. Castilla;61310,18;4332;229;79,07874164;16,58350455;58,35482358
   061. Bellas Vistas;33573,84;3358;-217;411,9999745;37,15895815;60,3848947
   062. Cuatro Caminos;46339,29;4426;319;293,8059;25,05983103;60,3848947
   063. Castillejos;48631,36;4416;93;291,4933831;24,78732766;60,3848947
   064. Almenara;31609,35;3317;-110;227,5239553;26,60152969;60,3848947
   065. Valdeacederas;30163,55;3301;71;228,8533623;35,62152134;60,3848947
   066. Berruguete;31387,41;3262;-68;422,74006;38,11311806;60,3848947
   071. Gaztambide;46630,31;4582;-124;453,0898495;19,72509193;43,9585628
   072. Arapiles;46882,35;5087;96;419,5564502;19,76928203;43,9585628
   073. Trafalgar;46189,81;5402;-141;402,4982987;23,16498863;43,9585628
   074. Almagro;68836,57;6451;-11;208,3927689;22,73851226;43,9585628
   075. Ríos Rosas;53843,76;5301;158;279,0183023;19,10409906;43,9585628
   076. Vallehermoso;61470,14;5075;125;187,6942874;12,36881559;43,9585628
   081. El Pardo;38883,06;5786;126;0,183545048;7,862550961;84,25048894
   082. Fuentelarreina;90678,01;3439;90;24,2723412;14,12849494;84,25048894
   083. Peñagrande;48909,23;3507;12;153,719524;13,99481339;84,25048894
   084. Pilar;35593,89;3284;139;337,2183002;20,53483215;84,25048894
   085. La Paz;61899,27;3753;191;153,1728732;10,04441722;84,25048894
   086. Valverde;46290,12;3765;27;71,30650389;19,66037618;84,25048894
   087. Mirasierra;72361,00;2652;-18;49,4294437;9,539464281;84,25048894
   088. El Goloso;67420,16;4111;165;7,144505129;9,850308804;84,25048894
   091. Casa de Campo;44963,64;3948;358;7,483125896;14,95154592;64,43755201
   092. Argüelles;55125,07;4837;60;318,9571741;22,14409794;64,43755201
   093. Ciudad Universitaria;65329,88;3857;70;11,35019772;15,11390998;64,43755201
   094. Valdezarza;37335,06;2971;-5;215,3270537;19,7998404;64,43755201
   095. Valdemarín;90897,21;4084;-78;20,76026809;14,5994832;64,43755201
   096. El Plantío;91933,00;2764;151;8,264897309;18,18485152;64,43755201
   097. Aravaca;72999,42;4032;473;47,25369219;15,98854076;64,43755201
   101. Los Cármenes;31467,29;2310;-40;136,0450126;25,77911738;49,88453452
   102. Puerta del Angel;29648,29;2543;-64;305,2575693;32,22379434;49,88453452
   103. Lucero;31918,16;2209;61;217,8445713;29,16906229;49,88453452
   104. Aluche;32610,57;2192;28;234,9911082;27,05553132;49,88453452
   105. Campamento;33453,68;2132;55;21,30148047;30,82110682;49,88453452
   106. Cuatro Vientos;37420,82;2270;24;10,81744321;15,29749831;49,88453452
   107. Las Águilas;31643,58;2186;53;142,9492473;20,13852204;49,88453452
   111. Comillas;29443,75;2748;156;340,7165542;30,67525544;76,5282956
   112. Opañel;30002,23;2276;8;303,9503028;34,79003175;76,5282956
   113. San Isidro;28092,37;2223;-2;209,1682955;33,15088534;76,5282956
   114. Vista Alegre;29307,23;2087;33;296,2575459;37,57287151;76,5282956
   115. Puerta Bonita;27424,76;1951;6;223,4640577;37,26510067;76,5282956
   116. Buenavista;33557,77;1943;-56;85,52727258;22,36658255;76,5282956
   117. Abrantes;30008,89;1943;-1036;201,4418773;34,66287103;76,5282956
   121. Orcasitas;29430,38;1821;195;170,2715917;16,39386742;90,30003409
   122. Orcasur;27366,62;1874;198;101,9281706;27,51673124;90,30003409
   123. San Fermín;27478,42;1874;151;161,5698476;31,15522703;90,30003409
   124. Almendrales;27823,39;1992;65;288,6145486;41,29240854;90,30003409
   125. Moscardó;28148,59;2311;209;292,9508499;41,09016269;90,30003409
   126. Zofio;27571,86;1964;-15;185,2135576;39,78624009;90,30003409
   127. Pradolongo;24711,28;1940;-64;163,418658;48,70210837;90,30003409
   131. Entrevías;24123,88;1504;4;59,00761086;26,78510323;77,74127802
   132. San Diego;23112,06;1942;68;407,2837395;46,39725328;77,74127802
   133. Palomeras Bajas;30752,48;1933;-1;234,7510592;23,91358393;77,74127802
   134. Palomeras Sureste;28901,72;1922;-41;138,081559;21,43741098;77,74127802
   135. Portazgo;25564,47;1932;76;230,7629677;25,55146414;77,74127802
   136. Numancia;26666,04;2105;122;260,2174009;35,21986202;77,74127802
   141. Pavones;35783,76;2531;-38;88,86228575;16,65345862;43,78707909
   142. Horcajo;47612,44;2531;-38;85,40833639;11,97238349;43,78707909
   143. Marroquina;42558,60;2903;-14;148,9231462;12,39740983;43,78707909
   144. Media Legua;37694,34;2625;-60;176,7824741;17,45361119;43,78707909
   145. Fontarrón;29819,76;2303;157;179,2501604;27,35340177;43,78707909
   146. Vinateros;30745,19;2515;53;283,8323934;21,81589658;43,78707909
   151. Ventas;30442,35;2559;-85;151,3773188;31,20668611;54,03160289
   152. Pueblo Nuevo;32027,75;2537;92;270,4835415;32,5815139;54,03160289
   153. Quintana;32082,06;2913;-3;340,4840828;33,21025641;54,03160289
   154. Concepción;37233,32;3257;438;233,9626228;24,41348619;54,03160289
   155. San Pascual;44222,13;3419;101;169,3035352;15,91230952;54,03160289
   156. San Juan Bautista;61278,01;4346;125;123,5007312;16,27009646;54,03160289
   157. Colina;56252,58;4792;448;113,7575108;17,71852319;54,03160289
   158. Atalaya;69982,00;2968;56;63,48367989;16,87657431;54,03160289
   159. Costillares;70458,55;4228;125;154,6614304;10,92421694;54,03160289
   161. Palomas;85614,14;4193;457;60,994736;16,58465991;94,66495707
   162. Piovera;85549,10;4624;365;47,25050243;21,95923294;94,66495707
   163. Canillas;42659,21;3305;78;159,6862374;15,78262935;94,66495707
   164. Pinar del Rey;35784,21;2904;105;196,9928674;19,90339646;94,66495707
   165. Apóstol Santiago;38899,83;2995;225;128,3991784;18,2088203;94,66495707
   166. Valdefuentes;58384,05;4204;133;37,74556049;16,82242991;94,66495707
   171. Villaverde Alto, C.H. Villaverde;26701,12;1690;;50,39901621;33,52278843;96,10606414
   172. San Cristóbal;21070,67;1391;53;156,9156645;54,7066123;96,10606414
   173. Butarque;31436,88;2208;124;32,50243758;23,60465673;96,10606414
   174. Los Rosales;30320,21;1785;-69;245,2706572;31,97057726;96,10606414
   175. Los Ángeles;29951,56;1864;107;168,8290101;28,97059273;96,10606414
   181. Casco Histórico de Vallecas;26309,20;1927;27;9,348395882;25,98462775;149,3253477
