Barrio;Renta;Precio;Edad;0-15;16-64;65-80;80-100
Palacio;38973.54;4714;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Embajadores;29471.72;4231;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Cortes;40962.52;5041;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Justicia;48202.79;5773;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Universidad;35344.23;5144;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Sol;35056.89;4769;43.88;7.510832932;76.94001529;15.54915177;5.024922824
Imperial;46879.4;4359;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Acacias;47683.22;4081;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Chopera;35015.46;3738;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Legazpi;52569.14;4539;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Delicias;43018.08;3949;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Palos de Moguer;37389.1;3931;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Atocha;42657;3657;44.9;12.04009258;68.12497164;19.83493578;6.292668063
Pacífico;44831.76;4194;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Adelfas;49538.41;4079;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Estrella;63495.1;4250;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Ibiza;50079.65;5358;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Jerónimos;72996.65;7016;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Niño Jesús;70945.17;4965;47.31;12.1823258;61.60496639;26.21270781;8.701299797
Recoletos;81691.88;8335;46.2;11.05837716;65.14491563;23.79670721;8.567554241
Goya;54456.35;5805;46.2;11.05837716;65.14491563;23.79670721;8.567554241
Fuente del Berro;44221.15;4527;46.2;11.05837716;65.14491563;23.79670721;8.567554241
Guindalera;50063.95;4182;46.2;11.05837716;65.14491563;23.79670721;8.567554241
Lista;54487.68;5922;46.2;11.05837716;65.14491563;23.79670721;8.567554241
Castellana;81379.77;6919;46.2;11.05837716;65.14491563;23.79670721;8.567554241
El Viso;80370.38;6485;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Prosperidad;46804.54;4375;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Ciudad Jardín;48943.8;4617;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Hispanoamérica;69389.19;5400;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Nueva España;78097.75;5866;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Castilla;61310.18;4332;45.52;13.66712423;62.91214825;23.42072752;8.23678792
Bellas Vistas;33573.84;3358;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Cuatro Caminos;46339.29;4426;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Castillejos;48631.36;4416;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Almenara;31609.35;3317;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Valdeacederas;30163.55;3301;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Berruguete;31387.41;3262;44.02;11.4439252;69.60443919;18.95163561;6.875238506
Gaztambide;46630.31;4582;46.36;10.64925325;65.12508383;24.22566292;8.54060447
Arapiles;46882.35;5087;46.36;10.64925325;65.12508383;24.22566292;8.54060447
Trafalgar;46189.81;5402;46.36;10.64925325;65.12508383;24.22566292;8.54060447
Almagro;68836.57;6451;46.36;10.64925325;65.12508383;24.22566292;8.54060447
Ríos Rosas;53843.76;5301;46.36;10.64925325;65.12508383;24.22566292;8.54060447
Vallehermoso;61470.14;5075;46.36;10.64925325;65.12508383;24.22566292;8.54060447
El Pardo;38883.06;5786;43.21;17.73977359;61.20423752;21.05598889;6.29814447
Fuentelarreina;90678.01;3439;43.21;17.73977359;61.20423752;21.05598889;6.29814447
Peñagrande;48909.23;3507;43.21;17.73977359;61.20423752;21.05598889;6.29814447
